slot,proposerIndex,graffiti
327601,9403,bitcoinsuisse.com
327602,40607,I love Wang Letian 20161227
327603,16556,Lighthouse/v1.0.2-f7183098
327604,2839,
327605,51477,
327606,59843,huobipool
327607,13010,
327608,15642,Go Vegan! Save the 🌎!
327609,8797,
327610,51059,🐠Welcome to the New Beginning
327611,24878,
327612,40914,
327613,25381,poapqFgrWg9hW8Idd4BhhVcEK+YLMu0A
327614,52084,
327615,10318,Lighthouse/v1.0.5-9ed65a6
327616,12877,
327617,42223,huobipool
327618,21876,
327619,61259,
327620,3261,Lighthouse/v1.0.3-65dcdc3
327621,44295,
327622,11232,🐠Welcome to the New Beginning
327623,9033,poaptJbcd/oIHjVk0e975baiSYDVYqQB
327624,978,BigJWasHere
327625,34227,
327626,45483,
327627,56430,
327628,51265,🐠Welcome to the New Beginning
327629,11007,bitcoinsuisse.com
327630,44493,
327631,42367,
327632,23756,
327633,26261,teku/v20.12.1
327634,48999,
327635,3528,bitcoinsuisse.com
327636,14278,
327637,4608,Lighthouse/v1.0.6-1552707+
327638,23552,
327639,49808,
327640,16624,10m in crypto in my 20s. thank u
327641,47052,
327642,61051,
327643,16978,I-Eat-ZeBrains
327644,59468,huobipool
327646,45751,
327647,55235,
327648,2222,
327649,48876,
327650,49674,
327651,39866,Chiara-Giorgia-Giulia
327652,25119,
327653,40427,
327654,20091,Lighthouse/v1.0.6-f183af2
327655,46084,bitcoinsuisse.com
327656,46763,
327657,48413,
327658,1286,The owls are not what they seem
327659,42984,🍦 C.R.E.A.M. @ TW 🇹🇼
327660,24192,
327661,43273,🤑 ETH2bet.com 🤑
327662,52875,
327663,28951,poapa+EF9agb9HYMR5eYiFEc4ObuTMgB
327664,14342,
327665,5451,bitcoinsuisse.com
327666,1342,Lighthouse/v1.0.5-9ed65a6
327667,29278,poapqFgrWg9hW8Idd4BhhVcEK+YLMu0A
327668,52205,
327669,44726,
327670,42358,
327671,15541,poaptRgF+xO5Rql+cEDGzgYfXmsJo7IA
327672,22489,🐠Welcome to the New Beginning
327673,44139,
327674,21748,<3 ga/la
327675,29016,
327676,58212,
327677,9592,bloxstaking.com
327678,15992,
327679,36340,graffiti
327680,13876,Welome to the new Era
327681,23786,
327682,38855,
327683,55575,
327684,10638,bitcoinsuisse.com
327685,17030,teku/v20.12.1
327686,44481,
327687,58594,teku/v20.12.1
327688,37364,
327689,50890,🐠Welcome to the New Beginning
